"column_name","data_type","is_nullable"
"EIN2","VARCHAR",true
"BMF_SUBSECTION_CODE","INTEGER",true
"F9_09_EXP_FEE_SVC_ACC_TOT","DOUBLE",true
"F9_10_LIAB_ACC_PAYABLE_EOY","DOUBLE",true
"F9_10_ASSET_ACC_NET_EOY","DOUBLE",true
"F9_04_TAX_EXEMPT_BOND_ISSUER_X","VARCHAR",true
"F9_09_EXP_AD_PROMO_TOT","DOUBLE",true
"F9_04_TRANSAC_PY_X","VARCHAR",true
"F9_09_EXP_BEN_PAID_MEMB_TOT","DOUBLE",true
"F9_10_NAFB_CAP_STCK_EOY","DOUBLE",true
"F9_04_LTD_X","VARCHAR",true
"F9_04_SCHED_O_REQ_X","VARCHAR",true
"F9_09_EXP_COMP_DSQ_PERS_TOT","DOUBLE",true
"F9_09_EXP_COMP_DTK_TOT","DOUBLE",true
"F9_04_PTR_ACT_X","VARCHAR",true
"F9_09_EXP_CONF_MEETING_TOT","DOUBLE",true
"F9_08_REV_OTH_INV_COST_GOODS","DOUBLE",true
"F9_04_CREDIT_COUNS_X","VARCHAR",true
"F9_08_REV_OTH_SALE_LESS_COST_SEC","DOUBLE",true
"F9_08_REV_OTH_SALE_LESS_COST_OTH","DOUBLE",true
"F9_10_ASSET_LOAN_OFF_EOY","DOUBLE",true
"F9_10_LIAB_REV_DEFERRED_EOY","DOUBLE",true
"F9_09_EXP_DEPREC_TOT","DOUBLE",true
"F9_04_BIZ_TRANSAC_DTK_X","VARCHAR",true
"F9_05_DAF_DIST_DONOR_X","VARCHAR",true
"F9_04_DAF_X","VARCHAR",true
"F9_00_ORG_EIN","VARCHAR",true
"F9_04_TRANSAC_ENGAGED_X","VARCHAR",true
"F9_10_LIAB_ESCROW_ACC_EOY","DOUBLE",true
"F9_05_DAF_EXCESS_BIZ_HOLDING_X","VARCHAR",true
"SA_03_PUB_AMT_CONTR_SBST_TOT","DOUBLE",true
"SA_02_PUB_CONTR_SBST_TOT","DOUBLE",true
"F9_05_NONDEDUCT_CONTR_NOTIFY_X","VARCHAR",true
"F9_05_NUM_FORM_1096_BOX_3","DOUBLE",true
"F9_05_170C_NUM_FORM_8282_FILED_X","INTEGER",true
"F9_09_EXP_FEE_SVC_INVEST_TOT","DOUBLE",true
"F9_09_EXP_FEE_SVC_LOB_TOT","DOUBLE",true
"F9_09_EXP_FEE_SVC_MGMT_TOT","DOUBLE",true
"F9_09_EXP_FEE_SVC_OTH_TOT","DOUBLE",true
"F9_05_170C_FORM_1098C_FILED_X","VARCHAR",true
"F9_05_TANNING_FORM_720_FILED_X","VARCHAR",true
"F9_05_170C_FORM_8282_REQ_X","VARCHAR",true
